mag_sample_alias	sample_accession	biosample_accession	status	holdUntilDate
DOGMAG_ANI95_MAG113	ERS31049560	SAMEA123300736	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG114	ERS31049561	SAMEA123300737	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG115	ERS31049562	SAMEA123300738	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG116	ERS31049563	SAMEA123300739	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG117	ERS31049564	SAMEA123300740	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG118	ERS31049565	SAMEA123300741	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG119	ERS31049566	SAMEA123300742	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG120	ERS31049567	SAMEA123300743	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG121	ERS31049568	SAMEA123300744	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG122	ERS31049569	SAMEA123300745	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG123	ERS31049570	SAMEA123300746	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG124	ERS31049571	SAMEA123300747	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG125	ERS31049572	SAMEA123300748	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG126	ERS31049573	SAMEA123300749	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG127	ERS31049574	SAMEA123300750	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG128	ERS31049575	SAMEA123300751	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG129	ERS31049576	SAMEA123300752	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG130	ERS31049577	SAMEA123300753	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG131	ERS31049578	SAMEA123300754	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG132	ERS31049579	SAMEA123300755	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG133	ERS31049580	SAMEA123300756	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG134	ERS31049581	SAMEA123300757	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG135	ERS31049582	SAMEA123300758	PRIVATE	2028-06-26+01:00
