public_assembly_id	assembly_file_public	basalt_assembly_index	assembly_class	assembler	source_manifest	source_set	read_entry_number	read_role	public_sample_id	public_read_file	read_file_md5	ena_study	instrument_model	library_name	library_layout	library_strategy	read_platform	source_project	notes
DOGMAG_ASM020	DOGMAG_ASM020.fasta	20	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_plus_serteperti_sixbarcode	4	long_read	SRTP_LR_DOG03	SRTP_LR_DOG03_ZMB96_BC06.fastq.gz	4e6ccce9557544a65fefb49b3f280ac8	PRJEB115259	MinION	SRTP_LR_DOG03_ZMB96_BC06_ONT_WGS	SINGLE	WGS	long_read	ENA_PRJEB115259_long_read	
DOGMAG_ASM021	DOGMAG_ASM021.fasta	21	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	LPL_P_PF1_230608	LPL_P_PF1_230608.fastq.gz	798976bca8736526d93f6f2f098c5f41	PRJEB115259	PromethION	LPL_P_PF1_230608_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM021	DOGMAG_ASM021.fasta	21	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	LPL_P_PF1_230826	LPL_P_PF1_230826.fastq.gz	9af4d0bd04689ec3537858094f842c85	PRJEB115259	PromethION	LPL_P_PF1_230826_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM022	DOGMAG_ASM022.fasta	22	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	DMD_0_AM1_240722	DMD_0_AM1_240722.fastq.gz	6f07e2fdc6cdd49d063a44f213175726	PRJEB115259	PromethION	DMD_0_AM1_240722_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM023	DOGMAG_ASM023.fasta	23	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	SRTP_0_AM3_230327	SRTP_0_AM3_230327.fastq.gz	9ad6c05596371c647f61b65478db754a	PRJEB115259	PromethION	SRTP_0_AM3_230327_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM023	DOGMAG_ASM023.fasta	23	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	SRTP_0_AM3_231125	SRTP_0_AM3_231125.fastq.gz	30e27ad00ace727d6c193245964e8a3c	PRJEB115259	PromethION	SRTP_0_AM3_231125_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM024	DOGMAG_ASM024.fasta	24	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	RR_0_AM1_230115	RR_0_AM1_230115.fastq.gz	fbfd39b4afac718bdd89ba87c88546dd	PRJEB115259	PromethION	RR_0_AM1_230115_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM024	DOGMAG_ASM024.fasta	24	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	RR_0_AM1_230521	RR_0_AM1_230521.fastq.gz	50cd6261a9a3ca2bdcc4889b48b8d462	PRJEB115259	PromethION	RR_0_AM1_230521_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM025	DOGMAG_ASM025.fasta	25	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	DMD_D_PF2_230521	DMD_D_PF2_230521.fastq.gz	8c99e70daef70919cf7d2aab45df51b3	PRJEB115259	PromethION	DMD_D_PF2_230521_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM026	DOGMAG_ASM026.fasta	26	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	AK_BKCF_0_AF1_230409	AK_BKCF_0_AF1_230409.fastq.gz	21687b9256dc9d0f548569b11dd294b5	PRJEB115259	PromethION	AK_BKCF_0_AF1_230409_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
